                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3822,                 3.3582,                 1.6416,                0.03043,                0.31325,                0.05028,                0.01392,                 2.4939,                 3.1929,                  1.891,                      0,                      0,                      0
                      2,                 2.3695,                 3.3335,                 1.5743,                0.09489,                 0.1506,                0.05046,                0.01377,                 2.4879,                 3.1914,                 1.8875,             1.9717e-05,             1.9717e-05,             1.9717e-05
                      3,                 2.3778,                 3.3148,                 1.8258,                0.06575,                0.18072,                0.05132,                0.01385,                 2.4807,                 3.1885,                   1.88,             3.8869e-05,             3.8869e-05,             3.8869e-05
                      4,                 2.3054,                 3.3563,                 1.5042,                0.15874,                0.10241,                0.05424,                0.01428,                 2.4868,                 3.1957,                 1.8869,             5.7454e-05,             5.7454e-05,             5.7454e-05
                      5,                 2.2869,                 3.3909,                 1.5905,                0.07764,                 0.1506,                0.05377,                0.01396,                 2.4884,                 3.1996,                 1.8859,             7.5474e-05,             7.5474e-05,             7.5474e-05
                      6,                 2.2942,                 3.3189,                 1.5756,                0.02923,                 0.3012,                0.05597,                0.01429,                  2.488,                 3.2105,                 1.8803,             9.2929e-05,             9.2929e-05,             9.2929e-05
                      7,                 2.3073,                  3.362,                 1.5412,                0.53046,                 0.5241,                0.48584,                0.16671,                 2.3672,                 3.5818,                 1.7484,             0.00010982,             0.00010982,             0.00010982
                      8,                 2.2166,                 2.3941,                 1.5571,                 0.2153,                0.59036,                0.21948,                0.08935,                 2.2743,                 2.0007,                 1.6912,             0.00012614,             0.00012614,             0.00012614
                      9,                 2.1095,                 1.7436,                 1.4348,                0.68151,                0.64458,                0.64971,                 0.2285,                 2.2716,                 1.4832,                 1.6854,              0.0001419,              0.0001419,              0.0001419
                     10,                 2.0468,                 1.1627,                 1.3945,                0.09148,                0.75301,                0.08939,                0.03349,                 2.1934,                 10.731,                  1.626,             0.00015709,             0.00015709,             0.00015709
                     11,                 2.0766,                 1.0577,                 1.4026,                0.67726,                0.78313,                0.72482,                0.25822,                 2.1305,                  3.281,                 1.5824,             0.00017171,             0.00017171,             0.00017171
                     12,                 1.9763,                0.98187,                 1.3102,                0.75619,                 0.8012,                0.81355,                0.29174,                 2.0963,                 2.7299,                 1.5871,             0.00018577,             0.00018577,             0.00018577
                     13,                 1.9491,                 1.1054,                 1.3056,                0.77746,                0.77711,                0.82371,                0.32653,                 2.0947,                 2.9847,                 1.5635,             0.00019927,             0.00019927,             0.00019927
                     14,                 1.9183,                 1.0879,                  1.335,                0.84009,                0.77711,                0.83796,                0.32117,                 2.1179,                 1.8593,                 1.5782,              0.0002122,              0.0002122,              0.0002122
                     15,                  2.036,                0.94143,                  1.379,                0.86468,                0.77108,                0.81283,                0.30273,                 2.1722,                 1.7524,                 1.6054,             0.00022456,             0.00022456,             0.00022456
                     16,                 1.8668,                0.83606,                  1.325,                0.85161,                0.82975,                 0.8317,                0.29743,                 2.1717,                  1.987,                 1.6189,             0.00023636,             0.00023636,             0.00023636
                     17,                 1.8649,                0.86972,                 1.2797,                0.78845,                0.71687,                0.74913,                0.26945,                 2.3634,                   1.79,                 1.7889,             0.00024759,             0.00024759,             0.00024759
                     18,                 1.9011,                 0.9304,                 1.2823,                0.78845,                0.71687,                0.74913,                0.26945,                 2.3634,                   1.79,                 1.7889,             0.00025825,             0.00025825,             0.00025825
                     19,                 1.9459,                0.94326,                 1.3055,                0.78601,                 0.6747,                0.70892,                0.25811,                 2.3533,                 2.2475,                 1.8447,             0.00026835,             0.00026835,             0.00026835
                     20,                  1.827,                0.80339,                 1.2402,                0.78601,                 0.6747,                0.70892,                0.25811,                 2.3533,                 2.2475,                 1.8447,             0.00027789,             0.00027789,             0.00027789
                     21,                 1.8363,                0.82731,                  1.253,                0.77447,                0.72289,                0.72188,                0.25203,                 2.3892,                 1.9592,                  1.852,             0.00028686,             0.00028686,             0.00028686
                     22,                 1.8602,                0.88713,                 1.3206,                0.77447,                0.72289,                0.72188,                0.25203,                 2.3892,                 1.9592,                  1.852,             0.00029526,             0.00029526,             0.00029526
                     23,                 1.7066,                0.76955,                 1.1972,                0.74734,                0.70482,                0.67861,                0.22712,                 2.4394,                 1.6877,                 1.8693,              0.0003031,              0.0003031,              0.0003031
                     24,                 1.9068,                 0.9127,                 1.3378,                0.74734,                0.70482,                0.67861,                0.22712,                 2.4394,                 1.6877,                 1.8693,             0.00031037,             0.00031037,             0.00031037
                     25,                  1.778,                0.80049,                 1.2046,                0.77954,                0.73494,                0.73133,                0.25568,                 2.3558,                  1.538,                 1.8237,             0.00031707,             0.00031707,             0.00031707
                     26,                 1.7233,                0.83151,                 1.2104,                0.77954,                0.73494,                0.73133,                0.25568,                 2.3558,                  1.538,                 1.8237,             0.00032321,             0.00032321,             0.00032321
                     27,                  1.853,                0.86387,                 1.2819,                0.81697,                0.67224,                0.74166,                0.27377,                 2.2875,                 1.8729,                 1.7643,             0.00032879,             0.00032879,             0.00032879
                     28,                 1.7677,                0.82587,                 1.2539,                0.81697,                0.67224,                0.74166,                0.27377,                 2.2875,                 1.8729,                 1.7643,              0.0003338,              0.0003338,              0.0003338
                     29,                 1.8907,                0.80377,                 1.2325,                0.79271,                0.54819,                0.61841,                0.23978,                  2.289,                 2.2629,                 1.7697,             0.00033824,             0.00033824,             0.00033824
                     30,                 1.7417,                0.79398,                 1.2138,                0.79271,                0.54819,                0.61841,                0.23978,                  2.289,                 2.2629,                 1.7697,             0.00034212,             0.00034212,             0.00034212
                     31,                 1.9383,                 1.0392,                 1.4041,                0.10586,                0.39157,                0.07138,                0.02734,                 2.3153,                 7.6578,                 1.7734,             0.00034543,             0.00034543,             0.00034543
                     32,                 1.8159,                0.87747,                  1.304,                0.10586,                0.39157,                0.07138,                0.02734,                 2.3153,                 7.6578,                 1.7734,             0.00034817,             0.00034817,             0.00034817
                     33,                 1.8427,                 0.8654,                 1.3119,                0.02781,                 0.3012,                0.01814,                0.00793,                 2.3791,                 30.177,                 1.8393,             0.00035035,             0.00035035,             0.00035035
                     34,                 1.7097,                0.85755,                 1.2252,                0.02781,                 0.3012,                0.01814,                0.00793,                 2.3791,                 30.177,                 1.8393,             0.00035197,             0.00035197,             0.00035197
                     35,                  1.731,                0.84485,                 1.2638,                0.05014,                    0.5,                0.03762,                0.01576,                 2.3429,                 25.159,                 1.7889,             0.00035302,             0.00035302,             0.00035302
                     36,                 1.6754,                0.77886,                 1.1826,                0.05014,                    0.5,                0.03762,                0.01576,                 2.3429,                 25.159,                 1.7889,              0.0003535,              0.0003535,              0.0003535
                     37,                 1.7619,                0.83296,                 1.2721,                0.11232,                0.53614,                0.08365,                0.03148,                 2.3967,                 10.857,                 1.8137,             0.00035342,             0.00035342,             0.00035342
                     38,                 1.7292,                0.78293,                 1.2365,                0.11232,                0.53614,                0.08365,                0.03148,                 2.3967,                 10.857,                 1.8137,             0.00035277,             0.00035277,             0.00035277
                     39,                 1.7422,                 0.7785,                 1.2968,                0.02431,                0.25301,                0.01516,                0.00648,                 2.2876,                 51.432,                  1.736,             0.00035155,             0.00035155,             0.00035155
                     40,                  1.801,                 0.8834,                 1.2548,                0.02431,                0.25301,                0.01516,                0.00648,                 2.2876,                 51.432,                  1.736,             0.00034977,             0.00034977,             0.00034977
                     41,                 1.7748,                0.89427,                 1.2129,                0.02833,                0.30723,                0.01857,                0.00797,                 2.4184,                    inf,                 1.8084,             0.00034743,             0.00034743,             0.00034743
                     42,                 1.7325,                0.84794,                 1.2161,                0.02833,                0.30723,                0.01857,                0.00797,                 2.4184,                    inf,                 1.8084,             0.00034452,             0.00034452,             0.00034452
                     43,                 1.6454,                0.81563,                 1.2027,                0.11551,                0.49643,                 0.0875,                0.02951,                 2.5012,                 11.812,                 1.8825,             0.00034104,             0.00034104,             0.00034104
                     44,                  1.676,                0.74183,                 1.1821,                0.11551,                0.49643,                 0.0875,                0.02951,                 2.5012,                 11.812,                 1.8825,               0.000337,               0.000337,               0.000337
                     45,                 1.7383,                0.80789,                 1.2978,                0.11012,                0.63253,                0.09359,                0.03224,                 2.3708,                  14.62,                 1.7795,             0.00033239,             0.00033239,             0.00033239
                     46,                 1.6708,                0.78544,                 1.2131,                0.11012,                0.63253,                0.09359,                0.03224,                 2.3708,                  14.62,                 1.7795,             0.00032721,             0.00032721,             0.00032721
                     47,                 1.7394,                0.86422,                  1.286,                0.02964,                0.29518,                0.01923,                0.00806,                 2.2702,                    inf,                   1.71,             0.00032147,             0.00032147,             0.00032147
                     48,                 1.7442,                0.77097,                  1.307,                0.02964,                0.29518,                0.01923,                0.00806,                 2.2702,                    inf,                   1.71,             0.00031517,             0.00031517,             0.00031517
                     49,                 1.6815,                 0.7534,                 1.2522,                0.20283,                0.68675,                0.17302,                0.06543,                 2.2355,                 3.8128,                 1.6863,              0.0003083,              0.0003083,              0.0003083
                     50,                 1.7102,                0.77987,                 1.2601,                0.20283,                0.68675,                0.17302,                0.06543,                 2.2355,                 3.8128,                 1.6863,             0.00030086,             0.00030086,             0.00030086
                     51,                 1.6388,                0.76992,                 1.1808,                 0.7597,                0.68564,                0.69546,                0.25718,                 2.3273,                 1.2568,                 1.7935,             0.00029286,             0.00029286,             0.00029286
                     52,                 1.6618,                0.75433,                 1.1975,                 0.7597,                0.68564,                0.69546,                0.25718,                 2.3273,                 1.2568,                 1.7935,             0.00028429,             0.00028429,             0.00028429
                     53,                 1.7271,                0.77662,                 1.2192,                 0.7597,                0.68564,                0.69546,                0.25718,                 2.3273,                 1.2568,                 1.7935,             0.00027515,             0.00027515,             0.00027515
                     54,                 1.7629,                0.76204,                 1.2882,                0.79495,                0.75301,                0.78005,                0.28914,                 2.3065,                  1.203,                 1.7854,             0.00026545,             0.00026545,             0.00026545
                     55,                 1.5904,                0.69855,                 1.1892,                0.79495,                0.75301,                0.78005,                0.28914,                 2.3065,                  1.203,                 1.7854,             0.00025519,             0.00025519,             0.00025519
                     56,                 1.6674,                0.72596,                  1.228,                0.79495,                0.75301,                0.78005,                0.28914,                 2.3065,                  1.203,                 1.7854,             0.00024436,             0.00024436,             0.00024436
                     57,                 1.5844,                0.70191,                 1.1933,                0.84663,                0.79518,                0.81997,                0.29934,                 2.2544,                 1.1494,                 1.7402,             0.00023296,             0.00023296,             0.00023296
                     58,                 1.6452,                0.71172,                 1.1474,                0.84663,                0.79518,                0.81997,                0.29934,                 2.2544,                 1.1494,                 1.7402,               0.000221,               0.000221,               0.000221
                     59,                 1.6865,                0.73219,                 1.1875,                0.84663,                0.79518,                0.81997,                0.29934,                 2.2544,                 1.1494,                 1.7402,             0.00020847,             0.00020847,             0.00020847
                     60,                 1.5745,                0.70769,                 1.2382,                0.82332,                 0.8253,                  0.807,                0.30106,                  2.214,                 1.0751,                 1.6954,             0.00019537,             0.00019537,             0.00019537
                     61,                  1.694,                0.73241,                 1.2402,                0.82332,                 0.8253,                  0.807,                0.30106,                  2.214,                 1.0751,                 1.6954,             0.00018171,             0.00018171,             0.00018171
                     62,                  1.686,                0.72581,                 1.3215,                0.82332,                 0.8253,                  0.807,                0.30106,                  2.214,                 1.0751,                 1.6954,             0.00016749,             0.00016749,             0.00016749
                     63,                 1.6873,                 0.7342,                 1.2454,                 0.8552,                0.81928,                0.82659,                0.31255,                 2.2023,                 1.0057,                 1.6808,              0.0001527,              0.0001527,              0.0001527
